ShapeBeforeBreaking,ShapeAfter,Location
OTHER,STAR,ambari/scc-sdsm/break/21
STAR,OTHER,ambari/scc-sdsm/break/44
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/43
OTHER,OTHER,ambari/scc-sdsm/break/38
TINY,NoSCCAfter,ambari/scc-sdsm/break/36
TINY,NoSCCAfter,ambari/scc-sdsm/break/31
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/65
TINY,NoSCCAfter,ambari/scc-sdsm/break/62
OTHER,OTHER,ambari/scc-sdsm/break/54
TINY,TINY,ambari/scc-sdsm/break/53
TINY,NoSCCAfter,ambari/scc-sdsm/break/30
STAR,CLIQUE,ambari/scc-sdsm/break/37
OTHER,STAR,ambari/scc-sdsm/break/39
CIRCLE,TINY,ambari/scc-sdsm/break/52
TINY,NoSCCAfter,ambari/scc-sdsm/break/55
CIRCLE,OTHER,ambari/scc-sdsm/break/63
OTHER,OTHER,ambari/scc-sdsm/break/64
TINY,NoSCCAfter,ambari/scc-sdsm/break/46
OTHER,OTHER,ambari/scc-sdsm/break/41
TINY,NoSCCAfter,ambari/scc-sdsm/break/48
TINY,NoSCCAfter,ambari/scc-sdsm/break/24
TINY,NoSCCAfter,ambari/scc-sdsm/break/23
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/4
TINY,NoSCCAfter,ambari/scc-sdsm/break/15
STAR,TINY,ambari/scc-sdsm/break/3
STAR,TINY,ambari/scc-sdsm/break/12
CIRCLE,CIRCLE,ambari/scc-sdsm/break/49
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/40
TINY,NoSCCAfter,ambari/scc-sdsm/break/47
TINY,NoSCCAfter,ambari/scc-sdsm/break/2
TINY,NoSCCAfter,ambari/scc-sdsm/break/13
STAR,TINY,ambari/scc-sdsm/break/5
TINY,NoSCCAfter,ambari/scc-sdsm/break/14
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/22
TINY,NoSCCAfter,ambari/scc-sdsm/break/25
STAR,STAR,cassandra/scc-sdsm/break/135
TINY,NoSCCAfter,cassandra/scc-sdsm/break/61
OTHER,OTHER,cassandra/scc-sdsm/break/95
OTHER,OTHER,cassandra/scc-sdsm/break/132
OTHER,OTHER,cassandra/scc-sdsm/break/59
TINY,NoSCCAfter,cassandra/scc-sdsm/break/92
OTHER,STAR,cassandra/scc-sdsm/break/66
OTHER,CIRCLE,cassandra/scc-sdsm/break/104
TINY,NoSCCAfter,cassandra/scc-sdsm/break/50
OTHER,OTHER,cassandra/scc-sdsm/break/68
OTHER,OTHER,cassandra/scc-sdsm/break/103
STAR,STAR,cassandra/scc-sdsm/break/57
STAR,TINY,cassandra/scc-sdsm/break/168
TINY,NoSCCAfter,cassandra/scc-sdsm/break/157
STAR,CLIQUE,cassandra/scc-sdsm/break/150
OTHER,STAR,cassandra/scc-sdsm/break/159
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/32
OTHER,CIRCLE,cassandra/scc-sdsm/break/166
OTHER,CIRCLE,cassandra/scc-sdsm/break/192
CIRCLE,CHAIN,cassandra/scc-sdsm/break/35
OTHER,TINY,cassandra/scc-sdsm/break/195
TINY,NoSCCAfter,cassandra/scc-sdsm/break/161
TINY,TINY,cassandra/scc-sdsm/break/102
TINY,NoSCCAfter,cassandra/scc-sdsm/break/69
CIRCLE,TINY,cassandra/scc-sdsm/break/56
OTHER,TINY,cassandra/scc-sdsm/break/105
CIRCLE,TINY,cassandra/scc-sdsm/break/51
STAR,NoSCCAfter,cassandra/scc-sdsm/break/58
OTHER,OTHER,cassandra/scc-sdsm/break/133
OTHER,OTHER,cassandra/scc-sdsm/break/67
OTHER,OTHER,cassandra/scc-sdsm/break/93
TINY,NoSCCAfter,cassandra/scc-sdsm/break/134
OTHER,OTHER,cassandra/scc-sdsm/break/94
OTHER,OTHER,cassandra/scc-sdsm/break/60
STAR,TINY,cassandra/scc-sdsm/break/34
OTHER,OTHER,cassandra/scc-sdsm/break/160
CIRCLE,TINY,cassandra/scc-sdsm/break/194
TINY,NoSCCAfter,cassandra/scc-sdsm/break/33
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/158
STAR,TINY,cassandra/scc-sdsm/break/193
OTHER,OTHER,cassandra/scc-sdsm/break/167
OTHER,STAR,cassandra/scc-sdsm/break/151
OTHER,OTHER,cassandra/scc-sdsm/break/169
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/156
OTHER,OTHER,cassandra/scc-sdsm/break/216
STAR,TINY,cassandra/scc-sdsm/break/229
CIRCLE,STAR,cassandra/scc-sdsm/break/211
TINY,TINY,cassandra/scc-sdsm/break/227
OTHER,OTHER,cassandra/scc-sdsm/break/218
STAR,TINY,cassandra/scc-sdsm/break/220
TINY,NoSCCAfter,cassandra/scc-sdsm/break/245
OTHER,OTHER,cassandra/scc-sdsm/break/242
STAR,STAR,cassandra/scc-sdsm/break/221
OTHER,CIRCLE,cassandra/scc-sdsm/break/226
OTHER,OTHER,cassandra/scc-sdsm/break/219
CIRCLE,NoSCCAfter,cassandra/scc-sdsm/break/210
TINY,OTHER,cassandra/scc-sdsm/break/217
OTHER,OTHER,cassandra/scc-sdsm/break/228
OTHER,OTHER,cassandra/scc-sdsm/break/243
STAR,STAR,cassandra/scc-sdsm/break/244
OTHER,OTHER,cassandra/scc-sdsm/break/250
STAR,NoSCCAfter,cassandra/scc-sdsm/break/235
STAR,STAR,cassandra/scc-sdsm/break/232
TINY,NoSCCAfter,cassandra/scc-sdsm/break/204
TINY,TINY,cassandra/scc-sdsm/break/203
TINY,NoSCCAfter,cassandra/scc-sdsm/break/251
OTHER,OTHER,cassandra/scc-sdsm/break/202
STAR,OTHER,cassandra/scc-sdsm/break/205
OTHER,OTHER,cassandra/scc-sdsm/break/233
OTHER,OTHER,cassandra/scc-sdsm/break/234
STAR,NoSCCAfter,cassandra/scc-sdsm/break/174
OTHER,OTHER,cassandra/scc-sdsm/break/180
OTHER,NoSCCAfter,cassandra/scc-sdsm/break/20
TINY,NoSCCAfter,cassandra/scc-sdsm/break/187
OTHER,OTHER,cassandra/scc-sdsm/break/18
TINY,NoSCCAfter,cassandra/scc-sdsm/break/173
CIRCLE,NoSCCAfter,cassandra/scc-sdsm/break/27
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/9
OTHER,CIRCLE,cassandra/scc-sdsm/break/145
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/11
OTHER,NoSCCAfter,cassandra/scc-sdsm/break/142
STAR,NoSCCAfter,cassandra/scc-sdsm/break/7
OTHER,STAR,cassandra/scc-sdsm/break/29
OTHER,STAR,cassandra/scc-sdsm/break/16
OTHER,STAR,cassandra/scc-sdsm/break/189
STAR,STAR,cassandra/scc-sdsm/break/129
OTHER,OTHER,cassandra/scc-sdsm/break/42
CIRCLE,STAR,cassandra/scc-sdsm/break/89
OTHER,OTHER,cassandra/scc-sdsm/break/116
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/45
STAR,TINY,cassandra/scc-sdsm/break/111
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/73
OTHER,OTHER,cassandra/scc-sdsm/break/118
OTHER,TINY,cassandra/scc-sdsm/break/87
STAR,TINY,cassandra/scc-sdsm/break/127
STAR,CIRCLE,cassandra/scc-sdsm/break/80
OTHER,OTHER,cassandra/scc-sdsm/break/74
OTHER,OTHER,cassandra/scc-sdsm/break/120
TINY,NoSCCAfter,cassandra/scc-sdsm/break/6
TINY,OTHER,cassandra/scc-sdsm/break/28
OTHER,OTHER,cassandra/scc-sdsm/break/143
OTHER,OTHER,cassandra/scc-sdsm/break/17
CIRCLE,CLIQUE,cassandra/scc-sdsm/break/188
TINY,NoSCCAfter,cassandra/scc-sdsm/break/144
OTHER,OTHER,cassandra/scc-sdsm/break/1
