ShapeBefore,ShapeAfterAggregate,Location
TINY,OTHER,wicket/scc-sdsm/aggregate/91
STAR,OTHER,wicket/scc-sdsm/aggregate/65
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/136
TINY,STAR,wicket/scc-sdsm/aggregate/62
TINY,STAR,wicket/scc-sdsm/aggregate/96
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/109
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/100
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/54
OTHER,OTHER,wicket/scc-sdsm/aggregate/107
TINY,STAR,wicket/scc-sdsm/aggregate/98
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/138
STAR,STAR,wicket/scc-sdsm/aggregate/53
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/30
TINY,STAR,wicket/scc-sdsm/aggregate/190
TINY,OTHER,wicket/scc-sdsm/aggregate/164
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/37
OTHER,OTHER,wicket/scc-sdsm/aggregate/163
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/197
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/155
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/199
STAR,CIRCLE,wicket/scc-sdsm/aggregate/39
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/152
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/106
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/99
STAR,OTHER,wicket/scc-sdsm/aggregate/52
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/139
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/101
CIRCLE,CIRCLE,wicket/scc-sdsm/aggregate/55
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/137
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/97
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/108
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/63
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/130
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/64
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/90
CLIQUE,STAR,wicket/scc-sdsm/aggregate/270
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/284
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/248
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/283
CHAIN,CIRCLE,wicket/scc-sdsm/aggregate/277
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/241
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/279
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/246
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/212
TINY,CIRCLE,wicket/scc-sdsm/aggregate/215
TINY,STAR,wicket/scc-sdsm/aggregate/223
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/224
STAR,CIRCLE,wicket/scc-sdsm/aggregate/278
TINY,STAR,wicket/scc-sdsm/aggregate/247
TINY,STAR,wicket/scc-sdsm/aggregate/240
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/249
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/276
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/282
TINY,STAR,wicket/scc-sdsm/aggregate/285
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/271
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/225
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/222
TINY,OTHER,wicket/scc-sdsm/aggregate/214
NoSCCBefore,CLIQUE,wicket/scc-sdsm/aggregate/213
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/231
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/209
TINY,STAR,wicket/scc-sdsm/aggregate/236
STAR,OTHER,wicket/scc-sdsm/aggregate/200
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/238
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/207
TINY,CIRCLE,wicket/scc-sdsm/aggregate/253
TINY,STAR,wicket/scc-sdsm/aggregate/254
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/262
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/265
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/239
